district,Zone,Geographical Region,Disaster,region,village,Date,Source,Data Cards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses USD,Losses Local,Education centers,Hospitals,Damages in crops Ha.,Region
Kathmandu,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,KATHMANDU METROPOLITAN CITY,09/09/88,Gorkhapatra 1988-9-10 Yr-88No-128,1.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,KATHMANDU METROPOLITAN CITY,09/09/88,Gorkhapatra 1988-9-10 Yr-88No-128,1.0,0,2,0,1,0,0,10,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,LANDSLIDE,Central Region,KATHMANDU METROPOLITAN CITY,09/10/88,Gorkhapatra 1988-9-11 Yr-88No-129,1.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Banke,Bheri,Terai,EPIDEMIC,Mid-Western Region,NEPALGANJ N.P.,09/10/88,Gorkhapatra 1988-9-11 Yr-88No-129,1.0,7,5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Mid-Western
Rasuwa,Bagmati,Mountain,LANDSLIDE,Central Region,Thulogaon,08/27/88,Gorkhapatra 1988-9-11 Yr-88No-129,1.0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,,09/09/88,Gorkhapatra 1988-9-12 Yr-88No-130,1.0,1,1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,,09/10/88,Gorkhapatra 1988-9-12 Yr-88No-130,1.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Jhapa,Mechi,Terai,EPIDEMIC,Eastern Region,CHANDRAGADHI,09/12/88,Gorkhapatra 1988-9-13 Yr-88No-131,1.0,0,200,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Myagdi,Dhawalagiri,Hill,FLOOD,Western Region,SINGHA,09/12/88,Gorkhapatra 1988-9-13 Yr-88No-131,1.0,0,0,0,0,8,0,0,0,0,0,0.0,0,0,0.0,Western
Myagdi,Dhawalagiri,Hill,FLOOD,Western Region,PULACHAUR,09/12/88,Gorkhapatra 1988-9-13 Yr-88No-131,1.0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,Western
